url	chapt_title	img_path
http://science.c-moor.org/miniCURE-RNA-seq/index.html	About this Course	resources/chapt_screen_images/index.png
http://science.c-moor.org/miniCURE-RNA-seq/instructor-guide.html	Instructor Guide	resources/chapt_screen_images/instructor-guide.png
http://science.c-moor.org/miniCURE-RNA-seq/introduction.html	1 Introduction	resources/chapt_screen_images/introduction.png
http://science.c-moor.org/miniCURE-RNA-seq/c-moor-minicure-overview.html	1.1 C-MOOR miniCURE Overview	resources/chapt_screen_images/c-moor-minicure-overview.png
http://science.c-moor.org/miniCURE-RNA-seq/the-scientific-process.html	1.2 The Scientific Process	resources/chapt_screen_images/the-scientific-process.png
http://science.c-moor.org/miniCURE-RNA-seq/sciserver-onboarding.html	1.3 SciServer Onboarding	resources/chapt_screen_images/sciserver-onboarding.png
http://science.c-moor.org/miniCURE-RNA-seq/anvil-onboarding.html	1.4 AnVIL Onboarding	resources/chapt_screen_images/anvil-onboarding.png
http://science.c-moor.org/miniCURE-RNA-seq/scientific-literature.html	2 Scientific Literature	resources/chapt_screen_images/scientific-literature.png
http://science.c-moor.org/miniCURE-RNA-seq/pre-lab-scientific-literature.html	2.1 Pre-lab: Scientific Literature	resources/chapt_screen_images/pre-lab-scientific-literature.png
http://science.c-moor.org/miniCURE-RNA-seq/lab-slides-scientific-literature.html	2.2 Lab Slides	resources/chapt_screen_images/lab-slides-scientific-literature.png
http://science.c-moor.org/miniCURE-RNA-seq/lab-activity-scientific-literature.html	2.3 Lab Activity: Scientific Literature	resources/chapt_screen_images/lab-activity-scientific-literature.png
http://science.c-moor.org/miniCURE-RNA-seq/model-organisms-and-databases.html	3 Model Organisms and Databases	resources/chapt_screen_images/model-organisms-and-databases.png
http://science.c-moor.org/miniCURE-RNA-seq/pre-lab-model-organisms.html	3.1 Pre-lab: Model Organisms	resources/chapt_screen_images/pre-lab-model-organisms.png
http://science.c-moor.org/miniCURE-RNA-seq/lab-slides-model-organisms-and-databases.html	3.2 Lab Slides	resources/chapt_screen_images/lab-slides-model-organisms-and-databases.png
http://science.c-moor.org/miniCURE-RNA-seq/lab-activity-biological-databases.html	3.3 Lab Activity: Biological Databases	resources/chapt_screen_images/lab-activity-biological-databases.png
http://science.c-moor.org/miniCURE-RNA-seq/rna-seq-analysis.html	4 RNA-seq Analysis	resources/chapt_screen_images/rna-seq-analysis.png
http://science.c-moor.org/miniCURE-RNA-seq/pre-lab-intro-to-rna-seq.html	4.1 Pre-lab: Intro to RNA-seq	resources/chapt_screen_images/pre-lab-intro-to-rna-seq.png
http://science.c-moor.org/miniCURE-RNA-seq/lab-slides-rna-seq-analysis.html	4.2 Lab Slides and Demo	resources/chapt_screen_images/lab-slides-rna-seq-analysis.png
http://science.c-moor.org/miniCURE-RNA-seq/lab-activity-rna-seq-analysis.html	4.3 Lab Activity: RNA-seq Analysis	resources/chapt_screen_images/lab-activity-rna-seq-analysis.png
http://science.c-moor.org/miniCURE-RNA-seq/differential-gene-expression.html	5 Differential Gene Expression	resources/chapt_screen_images/differential-gene-expression.png
http://science.c-moor.org/miniCURE-RNA-seq/lab-slides-differential-gene-expression.html	5.1 Lab Slides	resources/chapt_screen_images/lab-slides-differential-gene-expression.png
http://science.c-moor.org/miniCURE-RNA-seq/lab-activity-differential-gene-expression.html	5.2 Lab Activity: Differential Gene Expression	resources/chapt_screen_images/lab-activity-differential-gene-expression.png
http://science.c-moor.org/miniCURE-RNA-seq/kickstart-project-work.html	6 Kickstart Project Work	resources/chapt_screen_images/kickstart-project-work.png
http://science.c-moor.org/miniCURE-RNA-seq/additional-datasets.html	7 Additional Datasets	resources/chapt_screen_images/additional-datasets.png
http://science.c-moor.org/miniCURE-RNA-seq/mouse-brain-data.html	7.1 Mouse Brain Data	resources/chapt_screen_images/mouse-brain-data.png
http://science.c-moor.org/miniCURE-RNA-seq/single-cell-rna-seq-background.html	7.2 Single-cell RNA-seq Background	resources/chapt_screen_images/single-cell-rna-seq-background.png
http://science.c-moor.org/miniCURE-RNA-seq/single-cell-rna-seq-analysis.html	7.3 Single-cell RNA-seq Analysis	resources/chapt_screen_images/single-cell-rna-seq-analysis.png
http://science.c-moor.org/miniCURE-RNA-seq/conducting-research.html	8 Conducting Research	resources/chapt_screen_images/conducting-research.png
http://science.c-moor.org/miniCURE-RNA-seq/scientific-posters.html	9 Scientific Posters	resources/chapt_screen_images/scientific-posters.png
http://science.c-moor.org/miniCURE-RNA-seq/group-poster.html	9.1 Group Poster	resources/chapt_screen_images/group-poster.png
http://science.c-moor.org/miniCURE-RNA-seq/poster-template.html	9.2 Poster Template	resources/chapt_screen_images/poster-template.png
http://science.c-moor.org/miniCURE-RNA-seq/example-minicure-projects.html	A Example miniCURE Projects	resources/chapt_screen_images/example-minicure-projects.png
http://science.c-moor.org/miniCURE-RNA-seq/c-moor-scholars.html	B C-MOOR Scholars	resources/chapt_screen_images/c-moor-scholars.png
http://science.c-moor.org/miniCURE-RNA-seq/online-community.html	C Online Community	resources/chapt_screen_images/online-community.png
http://science.c-moor.org/miniCURE-RNA-seq/competencies-table.html	D Core Competencies	resources/chapt_screen_images/competencies-table.png
http://science.c-moor.org/miniCURE-RNA-seq/about-the-authors.html	About the Authors	resources/chapt_screen_images/about-the-authors.png
